,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.225830315,0.120758993,0.221439835,0.176690918,0.210841455
longest common Precision,0.20583855,0.123724304,0.201694812,0.160954745,0.206178744
longest common Recall,0.35751424,0.141700998,0.387897251,0.357251502,0.28233788
bi-gram F1,0.097530053,0.028033975,0.094377668,0.075563358,0.080262012
bi-gram Precision,0.076987621,0.026086974,0.071522186,0.055265336,0.068473038
bi-gram Recall,0.142757837,0.032647054,0.150376578,0.127483637,0.102090304
1-gram F1,0.283969893,0.13794476,0.287424975,0.242064285,0.248199076
1-gram Precision,0.227541404,0.133652026,0.221587821,0.177811191,0.222999409
1-gram Recall,0.394770487,0.153077881,0.428864497,0.39414776,0.305251744
,,,,,
,,,,,
,,,,,
,,,,,
