,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
1-gram F1,0.05803337,0.062956,0.062631,0.060122,0.048593
1-gram Precision,0.05555146,0.059075,0.058498,0.054942,0.046832
1-gram Recall,0.07201535,0.078062,0.080903,0.084629,0.072309
bi-gram F1,0.05206677,0.055483,0.051223,0.048527,0.042597
bi-gram Precision,0.05292745,0.054521,0.048372,0.048805,0.044774
bi-gram Recall,0.06819474,0.07409,0.070132,0.070313,0.0684
longest common F1,0.08970368,0.087004,0.088085,0.082363,0.099639
longest common Precision,0.09692458,0.333832,0.078056,0.071346,0.291887
longest common Recall,0.07201534,0.078062,0.080903,0.084629,0.072309
runtime,5.556382E-07,0.288647,0.012531,0.001122,0.263137
word count,77.61877,72.350284,112.917481,111.624062,60.996626
